"filename", "language", "Dart", "comment", "blank", "total"
"c:\Projects\pos\lib\features\auth\presentation\reset_password_page.dart", "Dart", 270, 7, 26, 303
"c:\Projects\pos\lib\features\auth\presentation\reset_password_verification_page.dart", "Dart", 302, 6, 24, 332
"c:\Projects\pos\lib\features\auth\presentation\sign_in.dart", "Dart", 235, 7, 18, 260
"c:\Projects\pos\lib\features\auth\presentation\sign_up.dart", "Dart", 259, 8, 22, 289
"c:\Projects\pos\lib\features\auth\presentation\verification_page.dart", "Dart", 290, 6, 23, 319
"c:\Projects\pos\lib\features\auth\presentation\widgets\auth_layout.dart", "Dart", 257, 14, 25, 296
"c:\Projects\pos\lib\features\auth\presentation\widgets\auth_options.dart", "Dart", 58, 0, 5, 63
"c:\Projects\pos\lib\features\business\data\datasources\business_remote_ds.dart", "Dart", 230, 23, 37, 290
"c:\Projects\pos\lib\features\business\data\models\business_model.dart", "Dart", 44, 1, 5, 50
"c:\Projects\pos\lib\features\business\data\models\business_template_model.dart", "Dart", 44, 0, 4, 48
"c:\Projects\pos\lib\features\business\data\repositories\business_repository_impl.dart", "Dart", 182, 40, 36, 258
"c:\Projects\pos\lib\features\business\domain\entities\branch.dart", "Dart", 33, 1, 3, 37
"c:\Projects\pos\lib\features\business\domain\entities\business.dart", "Dart", 16, 0, 2, 18
"c:\Projects\pos\lib\features\business\domain\entities\business_template.dart", "Dart", 18, 0, 2, 20
"c:\Projects\pos\lib\features\business\domain\repositories\business_repository.dart", "Dart", 13, 4, 5, 22
"c:\Projects\pos\lib\features\business\presentation\bloc\business_bloc.dart", "Dart", 59, 1, 11, 71
"c:\Projects\pos\lib\features\business\presentation\bloc\business_event.dart", "Dart", 17, 0, 7, 24
"c:\Projects\pos\lib\features\business\presentation\bloc\business_state.dart", "Dart", 27, 0, 9, 36
"c:\Projects\pos\lib\features\business\presentation\business_profile_page.dart", "Dart", 704, 16, 57, 777
"c:\Projects\pos\lib\features\business\presentation\business_profile_setup.dart", "Dart", 487, 14, 43, 544
"c:\Projects\pos\lib\features\dashboard\data\dashboard_data.dart", "Dart", 134, 3, 15, 152
"c:\Projects\pos\lib\features\dashboard\data\dashboard_repository.dart", "Dart", 384, 37, 46, 467
"c:\Projects\pos\lib\features\dashboard\domain\repositories\i_dashboard_repository.dart", "Dart", 5, 0, 3, 8
"c:\Projects\pos\lib\features\dashboard\domain\usecases\load_dashboard_use_case.dart", "Dart", 8, 0, 3, 11
"c:\Projects\pos\lib\features\dashboard\presentation\cubit\dashboard_cubit.dart", "Dart", 62, 9, 15, 86
"c:\Projects\pos\lib\features\dashboard\presentation\cubit\dashboard_state.dart", "Dart", 25, 0, 11, 36
"c:\Projects\pos\lib\features\dashboard\presentation\dashboard_page.dart", "Dart", 595, 28, 51, 674
"c:\Projects\pos\lib\features\dashboard\presentation\widgets\ai_insights_card.dart", "Dart", 90, 0, 5, 95
"c:\Projects\pos\lib\features\dashboard\presentation\widgets\branch_comparison_card.dart", "Dart", 299, 14, 28, 341
"c:\Projects\pos\lib\features\dashboard\presentation\widgets\category_performance_chart.dart", "Dart", 147, 0, 5, 152
"c:\Projects\pos\lib\features\dashboard\presentation\widgets\dashboard_empty_state.dart", "Dart", 56, 4, 4, 64
"c:\Projects\pos\lib\features\dashboard\presentation\widgets\expenses_summary_card.dart", "Dart", 220, 7, 16, 243
"c:\Projects\pos\lib\features\dashboard\presentation\widgets\fraud_alerts_card.dart", "Dart", 143, 1, 10, 154
"c:\Projects\pos\lib\features\dashboard\presentation\widgets\low_stock_alerts_card.dart", "Dart", 195, 5, 10, 210
"c:\Projects\pos\lib\features\dashboard\presentation\widgets\payment_methods_chart.dart", "Dart", 106, 0, 8, 114
"c:\Projects\pos\lib\features\dashboard\presentation\widgets\quick_actions_bar.dart", "Dart", 110, 8, 7, 125
"c:\Projects\pos\lib\features\dashboard\presentation\widgets\sales_trend_chart.dart", "Dart", 207, 1, 14, 222
"c:\Projects\pos\lib\features\dashboard\presentation\widgets\stat_card.dart", "Dart", 88, 0, 4, 92
"c:\Projects\pos\lib\features\dashboard\presentation\widgets\top_selling_items.dart", "Dart", 99, 0, 3, 102
"c:\Projects\pos\lib\features\employees\data\datasources\employees_remote_ds.dart", "Dart", 101, 9, 7, 117
"c:\Projects\pos\lib\features\employees\data\employees_repository_impl.dart", "Dart", 264, 12, 31, 307
"c:\Projects\pos\lib\features\employees\domain\entities\employee.dart", "Dart", 139, 3, 13, 155
"c:\Projects\pos\lib\features\employees\domain\errors\employee_errors.dart", "Dart", 7, 6, 4, 17
"c:\Projects\pos\lib\features\employees\domain\repositories\i_employees_repository.dart", "Dart", 30, 0, 5, 35
"c:\Projects\pos\lib\features\employees\domain\services\employee_validation_service.dart", "Dart", 35, 11, 7, 53
"c:\Projects\pos\lib\features\employees\domain\usecases\employee_use_cases.dart", "Dart", 71, 0, 9, 80
"c:\Projects\pos\lib\features\employees\presentation\bloc\employee_bloc.dart", "Dart", 214, 4, 29, 247
"c:\Projects\pos\lib\features\employees\presentation\bloc\employee_event.dart", "Dart", 110, 0, 20, 130
"c:\Projects\pos\lib\features\employees\presentation\bloc\employee_state.dart", "Dart", 94, 6, 19, 119
"c:\Projects\pos\lib\features\employees\presentation\dialogs\employee_form_dialog.dart", "Dart", 466, 17, 35, 518
"c:\Projects\pos\lib\features\employees\presentation\pages\employee_details_page.dart", "Dart", 240, 7, 16, 263
"c:\Projects\pos\lib\features\employees\presentation\pages\employees_page.dart", "Dart", 591, 7, 47, 645
"c:\Projects\pos\lib\features\employees\presentation\widgets\employee_card.dart", "Dart", 236, 3, 12, 251
"c:\Projects\pos\lib\features\employees\presentation\widgets\employee_card_skeleton.dart", "Dart", 119, 8, 11, 138
"c:\Projects\pos\lib\features\employees\presentation\widgets\employee_filter_bar.dart", "Dart", 116, 0, 3, 119
"c:\Projects\pos\lib\features\employees\presentation\widgets\employee_role_badge.dart", "Dart", 44, 0, 5, 49
"c:\Projects\pos\lib\features\employees\presentation\widgets\employee_status_badge.dart", "Dart", 43, 0, 5, 48
"c:\Projects\pos\lib\features\expenses\data\datasources\expenses_remote_ds.dart", "Dart", 68, 0, 6, 74
"c:\Projects\pos\lib\features\expenses\data\expenses_repository.dart", "Dart", 125, 0, 13, 138
"c:\Projects\pos\lib\features\expenses\domain\expense_item.dart", "Dart", 58, 0, 4, 62
"c:\Projects\pos\lib\features\expenses\domain\repositories\i_expenses_repository.dart", "Dart", 26, 0, 5, 31
"c:\Projects\pos\lib\features\expenses\domain\usecases\expenses_use_cases.dart", "Dart", 57, 0, 9, 66
"c:\Projects\pos\lib\features\expenses\presentation\cubit\expenses_cubit.dart", "Dart", 250, 1, 32, 283
"c:\Projects\pos\lib\features\expenses\presentation\cubit\expenses_state.dart", "Dart", 87, 0, 14, 101
"c:\Projects\pos\lib\features\expenses\presentation\expenses_page.dart", "Dart", 183, 0, 17, 200
"c:\Projects\pos\lib\features\expenses\presentation\widgets\add_expense_sheet.dart", "Dart", 635, 8, 40, 683
"c:\Projects\pos\lib\features\expenses\presentation\widgets\expense_card_view.dart", "Dart", 226, 0, 13, 239
"c:\Projects\pos\lib\features\expenses\presentation\widgets\expense_detail_sheet.dart", "Dart", 424, 0, 13, 437
"c:\Projects\pos\lib\features\expenses\presentation\widgets\expense_empty_state.dart", "Dart", 49, 0, 3, 52
"c:\Projects\pos\lib\features\expenses\presentation\widgets\expense_filter_bar.dart", "Dart", 148, 0, 10, 158
"c:\Projects\pos\lib\features\expenses\presentation\widgets\expense_stats_row.dart", "Dart", 52, 0, 4, 56
"c:\Projects\pos\lib\features\expenses\presentation\widgets\expense_status_badge.dart", "Dart", 39, 0, 5, 44
"c:\Projects\pos\lib\features\expenses\presentation\widgets\expense_status_tabs.dart", "Dart", 41, 0, 5, 46
"c:\Projects\pos\lib\features\expenses\presentation\widgets\expense_table_view.dart", "Dart", 119, 7, 7, 133
"c:\Projects\pos\lib\features\home\presentation\main_navigation_page.dart", "Dart", 1285, 49, 93, 1427
"c:\Projects\pos\lib\features\home\presentation\scan_page.dart", "Dart", 94, 1, 3, 98
"c:\Projects\pos\lib\features\inventory\data\inventory_data.dart", "Dart", 57, 6, 18, 81
"c:\Projects\pos\lib\features\inventory\data\inventory_repository.dart", "Dart", 228, 39, 36, 303
"c:\Projects\pos\lib\features\inventory\domain\repositories\i_inventory_repository.dart", "Dart", 20, 0, 5, 25
"c:\Projects\pos\lib\features\inventory\domain\usecases\inventory_use_cases.dart", "Dart", 31, 0, 5, 36
"c:\Projects\pos\lib\features\inventory\inventory.dart", "Dart", 496, 15, 41, 552
"c:\Projects\pos\lib\features\inventory\presentation\cubit\inventory_cubit.dart", "Dart", 177, 3, 25, 205
"c:\Projects\pos\lib\features\inventory\presentation\cubit\inventory_state.dart", "Dart", 67, 1, 11, 79
"c:\Projects\pos\lib\features\inventory\presentation\widgets\inventory_desktop_table.dart", "Dart", 365, 30, 34, 429
"c:\Projects\pos\lib\features\inventory\presentation\widgets\inventory_mobile_card.dart", "Dart", 360, 14, 24, 398
"c:\Projects\pos\lib\features\inventory\presentation\widgets\inventory_stats_row.dart", "Dart", 48, 0, 5, 53
